epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
3,0.9940129,0.97008634,1153.0,385.0,0.020385688332659614,0.8354701,0.6290219,253393.0,1955.0,0.99403423,0.9583726,1159.0,260.0,0.020173646033368926,0.8659794,0.59175766,234759.0,1680.0
0,0.98854744,0.9031858,2560.0,382.0,0.04283469349288869,0.5961945,0.18053778,253380.0,564.0,0.99000245,0.9752087,1662.0,716.0,0.0304648276980754,0.6217644,0.4145826,234303.0,1177.0
1,0.99156433,0.9617687,1699.0,468.0,0.027062495231333264,0.7527734,0.45614597,253294.0,1425.0,0.99322283,0.9804139,1218.0,394.0,0.021424688206614594,0.8044665,0.5709757,234625.0,1621.0
0,0.9884929,0.9015746,2539.0,417.0,0.04245307767329415,0.58466136,0.1877799,253342.0,587.0,0.9906751,0.9664596,1898.0,320.0,0.028629167418280112,0.74623317,0.33145472,234699.0,941.0
1,0.9920665,0.96530056,1601.0,437.0,0.0256304586590413,0.7772681,0.4878439,253322.0,1525.0,0.99363905,0.98403883,1106.0,407.0,0.020430227529874705,0.8098131,0.6104262,234612.0,1733.0
0,0.98872256,0.9059022,2487.0,410.0,0.04158626688567032,0.60952383,0.20466901,253348.0,640.0,0.9905742,0.9655272,1657.0,585.0,0.028443049166065687,0.6689304,0.41634378,234434.0,1182.0
1,0.9919147,0.9664939,1620.0,457.0,0.025489504617075137,0.76731163,0.48193157,253301.0,1507.0,0.9927646,0.9641301,1545.0,176.0,0.022921100468606462,0.8802721,0.4557943,234843.0,1294.0
0,0.9885941,0.90541786,2512.0,418.0,0.04226532338097477,0.59099805,0.19383825,253351.0,604.0,0.9907003,0.9625067,1826.0,386.0,0.028861837830939662,0.7240886,0.3568158,234633.0,1013.0
1,0.9918563,0.96824753,1638.0,454.0,0.02579389875687326,0.76501036,0.47432604,253315.0,1478.0,0.99281085,0.9670092,1565.0,145.0,0.022757658271587027,0.89781535,0.44874957,234874.0,1274.0
0,0.9887693,0.9073589,2525.0,360.0,0.04156893947049835,0.61206895,0.18364048,253432.0,568.0,0.99072975,0.96665376,1911.0,294.0,0.02799189256188792,0.7594108,0.32687566,234725.0,928.0
1,0.99251413,0.96942043,1524.0,399.0,0.02429537233191595,0.7972561,0.5072745,253393.0,1569.0,0.9938829,0.982504,999.0,456.0,0.019583398150409524,0.80139375,0.6481155,234563.0,1840.0
0,0.98883545,0.91416717,2511.0,357.0,0.04136389345087993,0.640121,0.2018436,253382.0,635.0,0.9908349,0.959688,1813.0,367.0,0.028282813680984002,0.73653984,0.36139485,234652.0,1026.0
1,0.99218327,0.96540964,1577.0,431.0,0.025099133289856787,0.7845,0.49872854,253308.0,1569.0,0.9936433,0.9700974,1208.0,304.0,0.02042157454813554,0.8428941,0.57449806,234715.0,1631.0
0,0.9886097,0.9082275,2528.0,398.0,0.04180469276848163,0.5926305,0.1863534,253380.0,579.0,0.9901454,0.9414995,2168.0,176.0,0.03214798063039019,0.7922078,0.23635083,234843.0,671.0
1,0.9920353,0.9664393,1615.0,431.0,0.025355856172612445,0.77587104,0.48020598,253347.0,1492.0,0.99365586,0.98335177,1080.0,429.0,0.020362971929458677,0.8039305,0.6195844,234590.0,1759.0
0,0.98888606,0.9043773,2483.0,372.0,0.041556665077729024,0.6204082,0.1967001,253422.0,608.0,0.99047333,0.9628105,1994.0,272.0,0.029241767487277363,0.7564906,0.29764003,234747.0,845.0
1,0.9922183,0.9664371,1585.0,414.0,0.025201996019865117,0.784375,0.48722097,253380.0,1506.0,0.9934541,0.9675101,1207.0,350.0,0.020985009208127306,0.8234107,0.5748503,234669.0,1632.0
